thickness,diameter,temperature,magnetization
9.0,5.0,0,1.0
9.0,5.0,2,0.998916
9.0,5.0,4,0.997827
9.0,5.0,6,0.996703
9.0,5.0,8,0.99569
9.0,5.0,10,0.99464
9.0,5.0,12,0.993501
9.0,5.0,14,0.992377
9.0,5.0,16,0.991384
9.0,5.0,18,0.990172
9.0,5.0,20,0.989254
9.0,5.0,22,0.987968
9.0,5.0,24,0.986809
9.0,5.0,26,0.985652
9.0,5.0,28,0.984635
9.0,5.0,30,0.983628
9.0,5.0,32,0.982457
9.0,5.0,34,0.981531
9.0,5.0,36,0.98029
9.0,5.0,38,0.979098
9.0,5.0,40,0.978236
9.0,5.0,42,0.976762
9.0,5.0,44,0.975789
9.0,5.0,46,0.974835
9.0,5.0,48,0.973419
9.0,5.0,50,0.972626
9.0,5.0,52,0.971286
9.0,5.0,54,0.96976
9.0,5.0,56,0.969085
9.0,5.0,58,0.967592
9.0,5.0,60,0.967091
9.0,5.0,62,0.964955
9.0,5.0,64,0.964797
9.0,5.0,66,0.963294
9.0,5.0,68,0.962408
9.0,5.0,70,0.961587
9.0,5.0,72,0.95971
9.0,5.0,74,0.959084
9.0,5.0,76,0.957611
9.0,5.0,78,0.956857
9.0,5.0,80,0.95559
9.0,5.0,82,0.95391
9.0,5.0,84,0.953105
9.0,5.0,86,0.952563
9.0,5.0,88,0.950297
9.0,5.0,90,0.949772
9.0,5.0,92,0.948175
9.0,5.0,94,0.946807
9.0,5.0,96,0.946209
9.0,5.0,98,0.94409
9.0,5.0,100,0.942771
9.0,5.0,102,0.942765
9.0,5.0,104,0.941483
9.0,5.0,106,0.939526
9.0,5.0,108,0.938481
9.0,5.0,110,0.937249
9.0,5.0,112,0.936292
9.0,5.0,114,0.935792
9.0,5.0,116,0.933765
9.0,5.0,118,0.933132
9.0,5.0,120,0.931565
9.0,5.0,122,0.931004
9.0,5.0,124,0.92904
9.0,5.0,126,0.928551
9.0,5.0,128,0.928137
9.0,5.0,130,0.926409
9.0,5.0,132,0.923893
9.0,5.0,134,0.922187
9.0,5.0,136,0.922041
9.0,5.0,138,0.92095
9.0,5.0,140,0.91971
9.0,5.0,142,0.917868
9.0,5.0,144,0.917598
9.0,5.0,146,0.916941
9.0,5.0,148,0.914757
9.0,5.0,150,0.913302
9.0,5.0,152,0.911477
9.0,5.0,154,0.910046
9.0,5.0,156,0.910148
9.0,5.0,158,0.907535
9.0,5.0,160,0.906872
9.0,5.0,162,0.906166
9.0,5.0,164,0.904651
9.0,5.0,166,0.90195
9.0,5.0,168,0.903093
9.0,5.0,170,0.900258
9.0,5.0,172,0.900631
9.0,5.0,174,0.897309
9.0,5.0,176,0.895346
9.0,5.0,178,0.896503
9.0,5.0,180,0.895029
9.0,5.0,182,0.89343
9.0,5.0,184,0.89216
9.0,5.0,186,0.890975
9.0,5.0,188,0.891115
9.0,5.0,190,0.888141
9.0,5.0,192,0.886716
9.0,5.0,194,0.885427
9.0,5.0,196,0.884448
9.0,5.0,198,0.881182
9.0,5.0,200,0.881894
9.0,5.0,202,0.880869
9.0,5.0,204,0.87838
9.0,5.0,206,0.876464
9.0,5.0,208,0.875495
9.0,5.0,210,0.875221
9.0,5.0,212,0.873366
9.0,5.0,214,0.87115
9.0,5.0,216,0.870406
9.0,5.0,218,0.869666
9.0,5.0,220,0.868053
9.0,5.0,222,0.864568
9.0,5.0,224,0.865559
9.0,5.0,226,0.862267
9.0,5.0,228,0.862479
9.0,5.0,230,0.861932
9.0,5.0,232,0.859834
9.0,5.0,234,0.857639
9.0,5.0,236,0.858176
9.0,5.0,238,0.856721
9.0,5.0,240,0.857033
9.0,5.0,242,0.851342
9.0,5.0,244,0.850987
9.0,5.0,246,0.845699
9.0,5.0,248,0.846605
9.0,5.0,250,0.846527
9.0,5.0,252,0.844049
9.0,5.0,254,0.845526
9.0,5.0,256,0.839729
9.0,5.0,258,0.841858
9.0,5.0,260,0.839399
9.0,5.0,262,0.837519
9.0,5.0,264,0.836148
9.0,5.0,266,0.83419
9.0,5.0,268,0.836577
9.0,5.0,270,0.833655
9.0,5.0,272,0.830131
9.0,5.0,274,0.828597
9.0,5.0,276,0.827079
9.0,5.0,278,0.827263
9.0,5.0,280,0.824514
9.0,5.0,282,0.821915
9.0,5.0,284,0.820182
9.0,5.0,286,0.821433
9.0,5.0,288,0.817321
9.0,5.0,290,0.818824
9.0,5.0,292,0.814041
9.0,5.0,294,0.814346
9.0,5.0,296,0.814286
9.0,5.0,298,0.81021
9.0,5.0,300,0.810066
9.0,5.0,302,0.806958
9.0,5.0,304,0.807004
9.0,5.0,306,0.806847
9.0,5.0,308,0.804458
9.0,5.0,310,0.805302
9.0,5.0,312,0.801505
9.0,5.0,314,0.797981
9.0,5.0,316,0.798806
9.0,5.0,318,0.796437
9.0,5.0,320,0.792554
9.0,5.0,322,0.793414
9.0,5.0,324,0.792711
9.0,5.0,326,0.78683
9.0,5.0,328,0.78722
9.0,5.0,330,0.785921
9.0,5.0,332,0.790114
9.0,5.0,334,0.783374
9.0,5.0,336,0.784745
9.0,5.0,338,0.781804
9.0,5.0,340,0.780204
9.0,5.0,342,0.777896
9.0,5.0,344,0.778389
9.0,5.0,346,0.774107
9.0,5.0,348,0.773068
9.0,5.0,350,0.76985
9.0,5.0,352,0.770332
9.0,5.0,354,0.767533
9.0,5.0,356,0.768206
9.0,5.0,358,0.763332
9.0,5.0,360,0.758595
9.0,5.0,362,0.758056
9.0,5.0,364,0.760579
9.0,5.0,366,0.75622
9.0,5.0,368,0.756649
9.0,5.0,370,0.755633
9.0,5.0,372,0.751165
9.0,5.0,374,0.747221
9.0,5.0,376,0.745252
9.0,5.0,378,0.747213
9.0,5.0,380,0.7436
9.0,5.0,382,0.741946
9.0,5.0,384,0.73994
9.0,5.0,386,0.73586
9.0,5.0,388,0.737236
9.0,5.0,390,0.732999
9.0,5.0,392,0.737008
9.0,5.0,394,0.729482
9.0,5.0,396,0.727731
9.0,5.0,398,0.725008
9.0,5.0,400,0.721902
9.0,5.0,402,0.722364
9.0,5.0,404,0.720642
9.0,5.0,406,0.722735
9.0,5.0,408,0.722608
9.0,5.0,410,0.715805
9.0,5.0,412,0.716475
9.0,5.0,414,0.715237
9.0,5.0,416,0.706914
9.0,5.0,418,0.70497
9.0,5.0,420,0.710247
9.0,5.0,422,0.70014
9.0,5.0,424,0.703529
9.0,5.0,426,0.694891
9.0,5.0,428,0.696986
9.0,5.0,430,0.694837
9.0,5.0,432,0.693415
9.0,5.0,434,0.688976
9.0,5.0,436,0.694774
9.0,5.0,438,0.685304
9.0,5.0,440,0.685693
9.0,5.0,442,0.680751
9.0,5.0,444,0.684747
9.0,5.0,446,0.674929
9.0,5.0,448,0.678209
9.0,5.0,450,0.673012
9.0,5.0,452,0.676623
9.0,5.0,454,0.661035
9.0,5.0,456,0.665967
9.0,5.0,458,0.666655
9.0,5.0,460,0.665914
9.0,5.0,462,0.658108
9.0,5.0,464,0.651544
9.0,5.0,466,0.657686
9.0,5.0,468,0.659915
9.0,5.0,470,0.660347
9.0,5.0,472,0.652041
9.0,5.0,474,0.646952
9.0,5.0,476,0.640293
9.0,5.0,478,0.638397
9.0,5.0,480,0.641846
9.0,5.0,482,0.644025
9.0,5.0,484,0.637699
9.0,5.0,486,0.632121
9.0,5.0,488,0.625493
9.0,5.0,490,0.629908
9.0,5.0,492,0.627496
9.0,5.0,494,0.625807
9.0,5.0,496,0.619141
9.0,5.0,498,0.61346
9.0,5.0,500,0.61399
9.0,5.0,502,0.61233
9.0,5.0,504,0.607911
9.0,5.0,506,0.606514
9.0,5.0,508,0.606787
9.0,5.0,510,0.596713
9.0,5.0,512,0.59453
9.0,5.0,514,0.59902
9.0,5.0,516,0.599183
9.0,5.0,518,0.590916
9.0,5.0,520,0.586229
9.0,5.0,522,0.588497
9.0,5.0,524,0.577218
9.0,5.0,526,0.576422
9.0,5.0,528,0.580358
9.0,5.0,530,0.574213
9.0,5.0,532,0.571463
9.0,5.0,534,0.560072
9.0,5.0,536,0.569692
9.0,5.0,538,0.560017
9.0,5.0,540,0.548921
9.0,5.0,542,0.543555
9.0,5.0,544,0.545913
9.0,5.0,546,0.556052
9.0,5.0,548,0.547148
9.0,5.0,550,0.545075
9.0,5.0,552,0.541628
9.0,5.0,554,0.524541
9.0,5.0,556,0.531419
9.0,5.0,558,0.530934
9.0,5.0,560,0.527909
9.0,5.0,562,0.533873
9.0,5.0,564,0.515275
9.0,5.0,566,0.514528
9.0,5.0,568,0.520052
9.0,5.0,570,0.508199
9.0,5.0,572,0.509225
9.0,5.0,574,0.501683
9.0,5.0,576,0.498668
9.0,5.0,578,0.485152
9.0,5.0,580,0.486828
9.0,5.0,582,0.487384
9.0,5.0,584,0.485191
9.0,5.0,586,0.487931
9.0,5.0,588,0.469642
9.0,5.0,590,0.473238
9.0,5.0,592,0.456395
9.0,5.0,594,0.461175
9.0,5.0,596,0.449299
9.0,5.0,598,0.43651
9.0,5.0,600,0.424411
9.0,5.0,602,0.442547
9.0,5.0,604,0.438333
9.0,5.0,606,0.433216
9.0,5.0,608,0.414314
9.0,5.0,610,0.419467
9.0,5.0,612,0.419299
9.0,5.0,614,0.403041
9.0,5.0,616,0.442516
9.0,5.0,618,0.420144
9.0,5.0,620,0.422481
9.0,5.0,622,0.421086
9.0,5.0,624,0.412599
9.0,5.0,626,0.405704
9.0,5.0,628,0.399055
9.0,5.0,630,0.40539
9.0,5.0,632,0.392961
9.0,5.0,634,0.387664
9.0,5.0,636,0.387252
9.0,5.0,638,0.385134
9.0,5.0,640,0.374497
9.0,5.0,642,0.369756
9.0,5.0,644,0.366655
9.0,5.0,646,0.354588
9.0,5.0,648,0.330775
9.0,5.0,650,0.33772
9.0,5.0,652,0.344782
9.0,5.0,654,0.340646
9.0,5.0,656,0.335213
9.0,5.0,658,0.315275
9.0,5.0,660,0.298504
9.0,5.0,662,0.294941
9.0,5.0,664,0.287111
9.0,5.0,666,0.294829
9.0,5.0,668,0.287313
9.0,5.0,670,0.291269
9.0,5.0,672,0.27299
9.0,5.0,674,0.28276
9.0,5.0,676,0.26698
9.0,5.0,678,0.230874
9.0,5.0,680,0.250262
9.0,5.0,682,0.225203
9.0,5.0,684,0.235074
9.0,5.0,686,0.193744
9.0,5.0,688,0.210167
9.0,5.0,690,0.188434
9.0,5.0,692,0.177957
9.0,5.0,694,0.166856
9.0,5.0,696,0.186464
9.0,5.0,698,0.192701
9.0,5.0,700,0.160854
9.0,5.0,702,0.145138
9.0,5.0,704,0.129666
9.0,5.0,706,0.145731
9.0,5.0,708,0.149711
9.0,5.0,710,0.126686
9.0,5.0,712,0.109866
9.0,5.0,714,0.12053
9.0,5.0,716,0.128476
9.0,5.0,718,0.116943
9.0,5.0,720,0.0969859
9.0,5.0,722,0.0936888
9.0,5.0,724,0.104385
9.0,5.0,726,0.0888728
9.0,5.0,728,0.0697465
9.0,5.0,730,0.0656836
9.0,5.0,732,0.0760097
9.0,5.0,734,0.0711932
9.0,5.0,736,0.0816496
9.0,5.0,738,0.069061
9.0,5.0,740,0.0640719
9.0,5.0,742,0.0765296
9.0,5.0,744,0.0766601
9.0,5.0,746,0.0722491
9.0,5.0,748,0.0541156
9.0,5.0,750,0.0682718
9.0,5.0,752,0.0773101
9.0,5.0,754,0.050317
9.0,5.0,756,0.0553018
9.0,5.0,758,0.042224
9.0,5.0,760,0.0491051
9.0,5.0,762,0.04645
9.0,5.0,764,0.0489283
9.0,5.0,766,0.0488135
9.0,5.0,768,0.0602608
9.0,5.0,770,0.0601403
9.0,5.0,772,0.0597267
9.0,5.0,774,0.0525589
9.0,5.0,776,0.0482278
9.0,5.0,778,0.0509175
9.0,5.0,780,0.0480756
9.0,5.0,782,0.0424279
9.0,5.0,784,0.0471316
9.0,5.0,786,0.0510404
9.0,5.0,788,0.0572951
9.0,5.0,790,0.0310096
